"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000223928.1",8.38779376299095,-0.750616507581469,0.410450905260716,16.10841335086,0.00654126958912388,0.00962038986954118
"ENSG00000213397.10",12.5594332730939,-1.25554143215559,0.401010810647284,16.1025578176241,0.00655728559933198,0.00964344613666823
"ENSG00000273026.1",13.8630039641668,-0.661153577307952,0.440230047281639,16.1012623149869,0.00656083420602524,0.00964816582940466
"ENSG00000200714.1",3.80092780785986,0.265631066215791,0.594136899489323,16.0970905729351,0.00657227404871488,0.00966448904851624
"ENSG00000232293.2",1.33315171263796,-1.06752024579928,0.636812667150232,16.0950227028696,0.00657795180854764,0.00967233790963108
"ENSG00000137274.13",358.412707044165,-0.0786888148041821,0.0911168323358388,16.0904521737255,0.00659051808785244,0.00969031443728709
"ENSG00000188095.6",1.88809180391498,-1.32203802935551,0.656282466568752,16.0901910745254,0.00659123666349772,0.00969086983227671
"ENSG00000228577.1",6.25502887811244,0.19906695818387,0.451384514814306,16.0843761538689,0.0066072597998476,0.00971392577844082
"ENSG00000152219.5",575.348183349768,0.275673651581565,0.0828892934461755,16.0783118616185,0.00662401050412122,0.00973804894794078
"ENSG00000166670.10",2.49622260213662,-1.59399312660254,0.668669178470101,16.071931743954,0.00664167823103687,0.00976351768082521
"ENSG00000234336.7",1.78233195759243,-1.62477529584792,0.67217038574615,16.0710661370743,0.00664407879032154,0.0097665416278783
"ENSG00000275585.2",1.38509276084088,-0.75302222168102,0.653454314218971,16.0691930534864,0.00664927624540767,0.00977367637953941
"ENSG00000175467.15",1109.41070473074,-0.115369600137163,0.10498267227829,16.0581492069927,0.0066800014558114,0.00981782379899869
"ENSG00000272070.1",28.4079993828899,-0.855561865782933,0.31524553858859,16.0582259208222,0.00667978755317409,0.00981782379899869
"ENSG00000182853.12",6.40467469185477,-0.931257368285523,0.597767687258489,16.055916148347,0.00668623086052807,0.00982647140631314
"ENSG00000273164.1",3.44876216091568,-0.940310192972968,0.654694405075475,16.0525457077461,0.00669564385553929,0.00983928809699675
"ENSG00000279067.1",1.49502390146755,-0.0434359650458042,0.64985875730247,16.0526269205104,0.00669541689215609,0.00983928809699675
"ENSG00000237217.1",1.69569064358583,-1.60883718225879,0.672055329803997,16.0514949501316,0.00669858105869173,0.00984309559464176
"ENSG00000267594.5",1.32690815855635,1.71956032882248,0.653864034738371,16.0476652400192,0.00670929694828968,0.00985833234283061
"ENSG00000162413.16",491.940327863363,0.0116964217397737,0.0928817654025802,16.0469674519417,0.00671125122253733,0.00986069426692064
"ENSG00000235308.1",2.48658930621322,0.6990653699753,0.614663028720654,16.045990555946,0.00671398811749133,0.00986420577493353
