"","AD3_1.1","AD3_1.2","AD3_1.3","AD3_5.1","AD3_5.2","AD3_5.3","AD3_9.1","AD3_9.2","AD3_9.3","AD3_16.1","AD3_16.2","AD3_16.3","AD3_26.1","AD3_26.2","AD3_26.3","AD3_36.1","AD3_36.2","AD3_36.3"
"hsa-miR-10397-5p",3.82533630980562,3.49092698611587,-0.631090574847244,3.08607973840068,3.7528030629412,4.69505890407557,3.68114025905758,4.25729899953966,3.43907162756992,3.36787045247424,4.21000230224467,3.2314211199612,3.86020985042349,3.9448139609084,3.08904688870187,3.60425174974788,3.61089488995082,3.20589251489067
"hsa-miR-10398-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,0.991202708967641,1.92609579274195,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.862442579241239,-0.631090574847244,0.848187312595596,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10398-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.882992105172624,-0.631090574847244,-0.631090574847244
"hsa-miR-10399-3p",1.73031123041947,3.7810088890725,1.56957225434832,1.5670910519583,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.862442579241239,-0.631090574847244,-0.631090574847244,1.75613147177532,0.972600169608657,-0.631090574847244,0.882992105172624,2.19302432917929,0.899993387210069
"hsa-miR-10399-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-103a-1-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-103a-2-5p",-0.631090574847244,1.24095167137887,-0.631090574847244,1.5670910519583,1.53256007068011,0.944044836892023,1.48275983598951,1.93641174745858,2.13557942962607,2.07611371555364,1.96586637750787,2.68020597540914,2.75585946129821,3.3340745520455,3.6877497256987,2.10775461806464,2.44098834807258,2.37899135103199
"hsa-miR-103a-3p",8.29171942636144,8.42896480364467,8.44454014586725,8.61753112881399,8.97994412043695,8.69651449026158,8.48485233027791,8.17463455052524,8.10584251444732,7.47125503522969,8.00641476893864,7.88271637747277,8.00303970991636,8.31891587698493,8.48713447461767,7.92329660400432,7.95605776916213,8.10348873980005
"hsa-miR-103b",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10400-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10400-5p",1.73031123041947,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.862442579241239,-0.631090574847244,1.38554314481822,2.17439138281423,2.24402633433143,2.03435058328147,1.42997437635897,-0.631090574847244,-0.631090574847244
"hsa-miR-10401-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10401-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-105-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.862442579241239,-0.631090574847244,0.848187312595596,-0.631090574847244,0.972600169608657,-0.631090574847244,-0.631090574847244,0.9388517566936,1.83546239634957
"hsa-miR-105-5p",1.73031123041947,1.24095167137887,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.882992105172624,-0.631090574847244,0.899993387210069
"hsa-miR-10522-5p",1.73031123041947,-0.631090574847244,-0.631090574847244,0.991202708967641,-0.631090574847244,0.944044836892023,3.48153195884161,2.54818391269021,3.32817181456016,4.67064528049965,4.87787512410618,4.50754559241736,4.47685203529121,3.45566799441007,3.5145812740863,3.60425174974788,2.19302432917929,3.72589087928076
"hsa-miR-10523-5p",5.32271470918905,5.22837699706414,5.42889607228129,3.60067073579539,4.08562232731806,3.28406470230222,1.87037975384457,1.6519185925645,0.9011427415055,2.07611371555364,1.56819106597546,1.76117069079662,-0.631090574847244,0.972600169608657,1.36926269150046,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10524-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10525-3p",5.24294364841277,5.8447211156749,5.97891269875337,5.39438791897526,5.72198234041916,5.9444032215775,5.13579504310525,4.09908394191129,4.61218802486426,3.65523867635237,3.70641901517519,3.34136426662303,2.49501393818897,1.54362892486788,2.47943534286054,2.10775461806464,2.65160800720992,1.83546239634957
"hsa-miR-10526-3p",-0.631090574847244,-0.631090574847244,1.56957225434832,-0.631090574847244,-0.631090574847244,0.944044836892023,-0.631090574847244,-0.631090574847244,-0.631090574847244,3.47019667496939,2.9235942638768,1.38554314481822,2.75585946129821,2.49432397212731,2.03435058328147,1.42997437635897,2.19302432917929,1.45161951157851
"hsa-miR-10527-5p",4.20843789367321,3.12680978475538,4.28113848078239,3.23309169610582,2.87669215462312,3.15179659406113,4.83517074452731,4.6484893462751,5.12327812422054,4.43865603869853,4.52655995177939,4.00669506223147,5.19532132003259,5.12311016685708,4.33376631409963,4.26183602007072,4.48222939537121,4.78730665699539
"hsa-miR-106a-3p",8.23100747739702,7.62434455600675,7.7285373168216,9.0213551926167,8.9291824367192,8.97982301130525,9.28234220968675,9.17966158563433,9.83386730468761,7.26688445726606,7.3142823231726,7.49567729253021,5.70355535659367,6.36743839666147,6.05934949266723,5.41151512077072,5.35428418006834,5.44563176449288
"hsa-miR-106a-5p",13.2468803714261,13.0621616600359,12.9270773652596,14.1876523534355,13.9857904266542,13.9032756317447,13.8551342999297,13.9800846410824,14.4303081618517,12.5058263857681,12.6143761289132,12.5162526203647,10.7319546769917,11.0865221090044,11.1355089083499,9.74756360981869,9.84592606862283,10.3091062637043
"hsa-miR-106b-3p",14.5349517901842,14.6331515584623,14.7291059914591,14.8370278268332,15.1127849039784,15.2390421173714,14.9039132413753,14.6136730132463,14.279567609023,14.3435218459643,14.5548603194891,14.5781254719833,14.2160822144179,14.2383803783106,14.1567630359085,13.7603451335651,13.9061946792971,13.5289864042777
"hsa-miR-106b-5p",10.7453803472971,10.6137769970034,10.3749146754069,10.4507501366959,10.1934333454631,10.4220254505725,10.4082478649026,10.7464672056595,10.8647396008263,9.92040189516381,9.99970115308357,10.0570663106581,9.72176573571599,10.0079079980006,10.0189776112961,9.96102893037144,9.29784665085308,9.43389342058205
"hsa-miR-107",10.4358791571539,10.1705061568336,10.1113708860724,9.10207984756654,8.56696455020021,8.73152470211542,9.29378373691899,9.58066766528813,9.81734452707278,10.7146531029535,10.7379842125529,10.5837986031536,10.1286774463776,10.2000174592839,10.2586207987223,10.8073176106561,10.2670534788333,10.7289872084292
"hsa-miR-10a-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.862442579241239,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10a-5p",-0.631090574847244,-0.631090574847244,2.27492862195393,0.991202708967641,-0.631090574847244,0.944044836892023,-0.631090574847244,-0.631090574847244,1.45308142726486,2.70482091478971,3.48983460884366,3.2314211199612,1.75613147177532,3.05464187232904,2.81675723805872,2.55923875579857,3.7074105421733,2.37899135103199
