genes;day
PLCB4;Day 0
MYL9;Day 0
HCK;Day 0
TM9SF4;Day 0
POFUT1;Day 0
KIF3B;Day 0
MAPRE1;Day 0
JAG1;Day 0
E2F1;Day 0
CST3;Day 0
WFDC2;Day 0
AHCY;Day 0
PPP1R16B;Day 0
SYNDIG1;Day 0
ZNF516;Day 0
LPIN2;Day 0
SMCHD1;Day 0
MYL12A;Day 0
ST8SIA5;Day 0
CEP192;Day 0
LIPG;Day 0
RNF125;Day 0
POLI;Day 0
RBBP8;Day 0
CSTF2;Day 0
VSIG1;Day 0
PSMD10;Day 0
ATG4A;Day 0
TBL1X;Day 0
GPR143;Day 0
POLA1;Day 0
MID1;Day 0
NXT2;Day 0
ALG13;Day 0
AMMECR1;Day 0
CHRDL1;Day 0
SRPX;Day 0
STAG2;Day 0
ATP11C;Day 0
ABCD1;Day 0
CACNA1F;Day 0
PLS3;Day 0
SMARCA1;Day 0
RBBP7;Day 0
PIM2;Day 0
SCML2;Day 0
PCSK1N;Day 0
PGK1;Day 0
SMS;Day 0
CD99L2;Day 0
JADE3;Day 0
CDK16;Day 0
USP11;Day 0
PCYT1B;Day 0
TIMP1;Day 0
KLHL4;Day 0
GABRE;Day 0
PCDH11X;Day 0
FGD1;Day 0
PIN4;Day 0
RBM3;Day 0
PBDC1;Day 0
BEX4;Day 0
RUBCNL;Day 0
NDFIP2;Day 0
FNDC3A;Day 0
ACP5;Day 0
ARHGEF7;Day 0
SUPT20H;Day 0
KPNA3;Day 0
FLT1;Day 0
DGKH;Day 0
KATNAL1;Day 0
INTS6;Day 0
MEDAG;Day 0
MGRN1;Day 0
CORO1A;Day 0
MAPK3;Day 0
CBLN1;Day 0
MMP15;Day 0
CYB5B;Day 0
NME3;Day 0
NDRG4;Day 0
AXIN1;Day 0
HCFC1R1;Day 0
HSDL1;Day 0
WFDC1;Day 0
SEC14L5;Day 0
COTL1;Day 0
USP10;Day 0
CRISPLD2;Day 0
NME4;Day 0
ABCC1;Day 0
NOMO3;Day 0
LMF1;Day 0
MTHFSD;Day 0
CAPN15;Day 0
PIEZO1;Day 0
